!CSV A.01.01
!Keysight Technologies,N5247A,US51370532,A.10.64.03
!Date: Wednesday, August 22, 2018 18:57:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),NF(DB),NF(DEG),S21(DB),S21(DEG),S11(DB),S11(DEG),T-Eff(DB),T-Eff(DEG)
15900000000,10.690989,0,-1.1716843,84.593613,-1.7623574,-120.08092,3110.1414,0
16000000000,7.5105138,0,-1.195945,84.314781,-1.7372192,-120.43815,1344.7426,0
16100000000,9.6345825,0,-1.2707767,84.066689,-1.7678421,-120.58559,2375.9763,0
16200000000,9.9685307,0,-1.2863826,83.691307,-1.7585735,-121.01202,2589.0623,0
16300000000,7.4306808,0,-1.3459656,83.867081,-1.7633475,-121.06113,1314.9669,0
16400000000,11.678855,0,-1.4147332,83.332748,-1.807286,-121.27946,3978.5806,0
16500000000,9.898406,0,-1.4054501,83.113747,-1.8054912,-121.56454,2542.9482,0
16600000000,8.990243,0,-1.4586639,83.264,-1.6929798,-121.23485,2008.3827,0
16700000000,10.129952,0,-1.5300215,82.506859,-1.7021631,-122.47998,2698.0869,0
16800000000,8.6221867,0,-1.5495684,81.997963,-1.7703001,-122.65687,1821.6243,0
16900000000,9.5879583,0,-1.6316177,81.924133,-1.797914,-122.58694,2347.5083,0
17000000000,11.58367,0,-1.6722002,81.589264,-1.8142781,-122.86951,3886.043,0
17100000000,7.8275719,0,-1.6461781,81.475418,-1.7055494,-123.40205,1468.5519,0
17200000000,12.720071,0,-1.7131317,81.450699,-1.6606811,-123.24931,5135.0664,0
17300000000,11.649303,0,-1.787315,80.745743,-1.8087416,-123.75111,3949.6333,0
17400000000,7.466136,0,-1.818819,80.574844,-1.762665,-124.16561,1328.1233,0
17500000000,13.354135,0,-1.8910679,80.372093,-1.7929242,-124.15602,5987.8579,0
17600000000,11.05729,0,-1.9032781,79.993439,-1.7878343,-124.68474,3409.3638,0
17700000000,8.5651722,0,-1.9854411,80.826988,-1.6644379,-122.96889,1794.0837,0
17800000000,13.009812,0,-1.9985657,79.598236,-1.7506578,-124.83712,5509.3486,0
17900000000,9.7391071,0,-1.9837731,78.892227,-1.77473,-125.38271,2440.9185,0
18000000000,10.257669,0,-2.0636096,79.001068,-1.7511903,-125.73545,2787.2654,0
END

